;accs;dataset;featurespace_dimension;intrinsic_dimensions;loss;model;sat_avg;thresh
500;0.8275;CatVsDog;1600;1600;0.0034126571565866472;VGG13_S;100.0;100.0
501;0.844;CatVsDog;800;333;0.002720019638538361;VGG13_XS;53.26705454545454;0.99
502;0.8515;CatVsDog;800;524;0.002695489749312401;VGG13_XS;73.86363636363636;0.999
503;0.8485;CatVsDog;800;800;0.0027834101244807244;VGG13_XS;100.0;100.0
504;0.788;CatVsDog;400;222;0.0035821009799838067;VGG13_XXS;64.20454545454545;0.99
505;0.8035;CatVsDog;400;315;0.0032709285467863083;VGG13_XXS;81.67613636363636;0.999
506;0.8065;CatVsDog;400;400;0.003253964230418205;VGG13_XXS;100.0;100.0
507;0.649;CatVsDog;200;127;0.005210597798228264;VGG13_XXXS;68.18181818181819;0.99
508;0.7265;CatVsDog;200;173;0.004187817618250847;VGG13_XXXS;85.51136363636364;0.999
509;0.747;CatVsDog;200;200;0.0040087710916996006;VGG13_XXXS;100.0;100.0
510;0.873;CatVsDog;4480;487;0.002421335406601429;VGG16;19.893971428571433;0.99
511;0.873;CatVsDog;4480;1171;0.0025386629849672316;VGG16;42.06195;0.999
512;0.8635;CatVsDog;4480;4480;0.0030752099230885507;VGG16;100.0;100.0
513;0.8505;CatVsDog;2240;446;0.0028142062723636625;VGG16_S;33.73325;0.99
514;0.8595;CatVsDog;2240;863;0.00283714359998703;VGG16_S;54.40848571428571;0.999
515;0.8605;CatVsDog;2240;2240;0.0029803390726447104;VGG16_S;100.0;100.0
516;0.822;CatVsDog;1120;366;0.0032849071249365807;VGG16_XS;46.54017142857143;0.99
517;0.8405;CatVsDog;1120;615;0.002895957738161087;VGG16_XS;66.68527857142857;0.999
518;0.845;CatVsDog;1120;1120;0.0028813451677560807;VGG16_XS;100.0;100.0
519;0.768;CatVsDog;560;286;0.0037972546070814133;VGG16_XXS;60.9375;0.99
520;0.793;CatVsDog;560;402;0.0035039369314908983;VGG16_XXS;78.125;0.999
521;0.8015;CatVsDog;560;560;0.0034060920774936676;VGG16_XXS;100.0;100.0
522;0.6865;CatVsDog;280;176;0.004673192486166954;VGG16_XXXS;69.41964285714286;0.99
523;0.7245;CatVsDog;280;234;0.004251667931675911;VGG16_XXXS;86.83035714285714;0.999
524;0.7375;CatVsDog;280;280;0.004190476328134537;VGG16_XXXS;100.0;100.0
525;0.8475;CatVsDog;5760;505;0.00286576421931386;VGG19;17.118558823529412;0.99
526;0.8495;CatVsDog;5760;1266;0.0029999772496521475;VGG19;37.51148823529412;0.999
527;0.849;CatVsDog;5760;5760;0.003039365917444229;VGG19;100.0;100.0
528;0.858;CatVsDog;2880;512;0.003048864468932152;VGG19_S;30.79043529411765;0.99
529;0.851;CatVsDog;2880;946;0.0035651101879775526;VGG19_S;49.17279411764706;0.999
530;0.844;CatVsDog;2880;2880;0.004050218425691128;VGG19_S;100.0;100.0
531;0.803;CatVsDog;1440;377;0.0035811278223991396;VGG19_XS;41.17648235294117;0.99
532;0.842;CatVsDog;1440;636;0.0030629257559776305;VGG19_XS;58.63970588235294;0.999
533;0.8465;CatVsDog;1440;1440;0.0030930833369493486;VGG19_XS;100.0;100.0
534;0.7785;CatVsDog;720;315;0.0037747125774621965;VGG19_XXS;54.779411764705884;0.99
535;0.7645;CatVsDog;720;458;0.004243256494402886;VGG19_XXS;71.78308823529412;0.999
536;0.7945;CatVsDog;720;720;0.0037259835973381997;VGG19_XXS;100.0;100.0
537;0.729;CatVsDog;360;199;0.004232842311263084;VGG19_XXXS;63.970588235294116;0.99
538;0.7405;CatVsDog;360;262;0.004192338198423386;VGG19_XXXS;78.125;0.999
539;0.753;CatVsDog;360;360;0.003932819902896881;VGG19_XXXS;100.0;100.0
